vehicle_id,vin,make,model,year,color,mileage,condition,purchase_price,lot_date,sold
1,1HGBH41JXMN109186,toyota,camry,2023,Silver,15000,Excellent,22000,2023-11-15,TRUE
2,2HGFA16528H123456,honda,accord,2023,Blue,12000,Good,25000,2023-12-01,TRUE
3,1FA6P8CF3L5123456,ford,mustang,2022,Red,18000,Excellent,38000,2024-01-10,TRUE
4,4T1BF1FK5CU123456,toyota,rav4,2024,White,5000,Excellent,26000,2024-01-20,TRUE
5,19XFC2F59LE123456,honda,civic,2023,Black,20000,Good,19500,2024-02-05,TRUE
6,1FTFW1E89MFA12345,ford,f-150,2023,Gray,8000,Excellent,45000,2024-02-15,TRUE
7,5YJ3E1EB8MF123456,tesla,model 3,2024,White,2000,Excellent,42000,2024-02-28,TRUE
8,5TDBZRFH8JS123456,toyota,highlander,2023,Black,14000,Good,36000,2024-03-10,TRUE
9,2HKRM4H75MH123456,honda,cr-v,2023,Blue,16000,Excellent,24500,2024-03-25,TRUE
10,1FM5K8D84LGB12345,ford,explorer,2024,Gray,6000,Good,32000,2024-04-05,TRUE
11,5YFS4RCE3MP123456,toyota,corolla,2024,Silver,3000,Excellent,18000,2024-04-20,TRUE
12,5FNYF6H52MB123456,honda,pilot,2023,White,11000,Excellent,34000,2024-05-05,TRUE
13,1FMCU9GD7MUA12345,ford,escape,2023,Red,13000,Good,23000,2024-05-20,TRUE
14,5YJSA1E28MF123456,tesla,model y,2024,Black,4000,Excellent,46000,2024-06-01,TRUE
15,JTEBU5JR8M5123456,toyota,4runner,2023,Gray,17000,Good,38500,2024-06-18,TRUE
16,5FNRL6H78MB123456,honda,odyssey,2023,Blue,10000,Excellent,32000,2024-07-05,TRUE
17,1FMEU8EP3MLA12345,ford,bronco,2024,Orange,7000,Excellent,36000,2024-07-22,TRUE
18,5TFUY5F18MX123456,toyota,tundra,2023,White,19000,Good,42000,2024-08-10,TRUE
19,5FPYK3F76MB123456,honda,ridgeline,2024,Black,5500,Excellent,33500,2024-08-28,TRUE
20,1FTER4FH8MLA12345,ford,ranger,2024,Blue,4500,Good,27000,2024-09-15,TRUE
