financing_id,sale_id,lender_name,loan_amount,interest_rate,term_months,monthly_payment,approval_date,down_payment
1,3,First National Bank,25000.00,4.5,60,466.08,2024-01-20,5000.00
2,5,CREDIT UNION AUTO,18000.00,3.9,48,407.89,2024-02-01,3000.00
3,7,first national bank,22000.00,4.75,60,412.64,02/15/2024,4000.00
4,10,Auto Finance Corp,28000.00,5.2,72,NULL,2024-03-05,2000.00
5,11,CREDIT UNION AUTO,20000.00,3.8,60,367.71,03/10/2024,
6,13,First National Bank,26500.00,4.6,60,NULL,2024-04-01,3500.00
7,14,auto finance corp,19500.00,5.0,48,449.44,04/12/2024,2500.00
8,16,Credit Union Auto,23000.00,4.0,60,423.41,2024-05-01,4500.00
9,18,FIRST NATIONAL BANK,21000.00,4.8,60,394.80,05/15/2024,3000.00
10,20,Auto Finance Corp,24000.00,,72,NULL,2024-06-01,2000.00
11,4,credit union auto,17500.00,3.85,48,396.87,01/25/2024,2500.00
12,8,First National Bank,29000.00,4.9,72,461.23,2024-02-20,1500.00
13,12,AUTO FINANCE CORP,20500.00,5.1,60,389.26,03/15/2024,
14,15,Credit Union Auto,22500.00,4.2,60,417.92,2024-04-18,3500.00
15,17,first national bank,25500.00,4.7,60,NULL,05/05/2024,4000.00
