vehicle_id,vin,make,model,year,color,mileage,condition,purchase_price,lot_date,sold
1,1HGBH41JXMN109186,Toyota,Camry,2023,Silver,15000,Excellent,22000.00,2023-11-15,Yes
2,2HGFA16528H123456,Honda,Accord,2023,Blue,12000,Good,25000,2023-12-01,YES
3,1FA6P8CF3L5123456,Ford,Mustang,2022,Red,18000,excellent,38000.00,2024-01-10,Yes
4,4T1BF1FK5CU123456,TOYOTA,RAV4,2024,White,5000,Excellent,26000,2024-01-20,yes
5,19XFC2F59LE123456,honda,Civic,2023,Black,20000,Good,19500.00,2024-02-05,YES
6,1FTFW1E89MFA12345,Ford,F-150,2023,Gray,8000,Excellent,45000,2024-02-15,Yes
7,5YJ3E1EB8MF123456,Tesla,Model 3,2024,White,2000,excellent,42000.00,2024-02-28,yes
8,5TDBZRFH8JS123456,Toyota,Highlander,2023,Black,14000,Good,36000,2024-03-10,YES
9,2HKRM4H75MH123456,HONDA,CR-V,2023,Blue,16000,Excellent,24500.00,2024-03-25,Yes
10,1FM5K8D84LGB12345,ford,Explorer,2024,Gray,6000,Good,32000,2024-04-05,yes
11,5YFS4RCE3MP123456,toyota,Corolla,2024,Silver,3000,Excellent,18000.00,2024-04-20,YES
12,5FNYF6H52MB123456,Honda,Pilot,2023,White,11000,excellent,34000,2024-05-05,Yes
13,1FMCU9GD7MUA12345,FORD,Escape,2023,Red,13000,Good,23000.00,2024-05-20,yes
14,5YJSA1E28MF123456,tesla,Model Y,2024,Black,4000,Excellent,46000,2024-06-01,YES
15,JTEBU5JR8M5123456,Toyota,4Runner,2023,Gray,17000,Good,38500.00,2024-06-18,Yes
16,5FNRL6H78MB123456,honda,Odyssey,2023,Blue,10000,excellent,32000,2024-07-05,yes
17,1FMEU8EP3MLA12345,Ford,Bronco,2024,Orange,7000,Excellent,36000.00,2024-07-22,YES
18,5TFUY5F18MX123456,TOYOTA,Tundra,2023,White,19000,Good,42000,2024-08-10,Yes
19,5FPYK3F76MB123456,Honda,Ridgeline,2024,Black,5500,Excellent,33500.00,2024-08-28,yes
20,1FTER4FH8MLA12345,ford,Ranger,2024,Blue,4500,Good,27000,2024-09-15,YES
